MAG,LoPthruTP2,Aggregate_Adjusted_popSNP_Count
C017-M23_stoolx100_sub.SR_stool.fasta,1.083333333,0.000
C017-M23_stoolx109_sub.SR_stool.fasta,0,0.000
C017-M23_stoolx109_sub.SR_stool.fasta,1.416666667,2.023
C017-M23_stoolx120_sub.SR_stool.fasta,0,0.000
C017-M23_stoolx120_sub.SR_stool.fasta,1.083333333,0.000
C017-M23_stoolx3.SR_stool.fasta,0,0.000
C017-M23_stoolx3.SR_stool.fasta,1.083333333,0.000
C017-M23_stoolx82.SR_stool.fasta,0,0.000
C017-M23_stoolx82.SR_stool.fasta,1.416666667,7.914
C017-M23_stoolx82.SR_stool.fasta,2.5,14.245
C017-M23_stoolx86.SR_stool.fasta,0,0.000
C017-M23_stoolx86.SR_stool.fasta,1.083333333,0.000
C017-M23_stoolxbin.11.SR_stool.fasta,0,0.000
C017-M23_stoolxbin.11.SR_stool.fasta,1.083333333,0.000
C017-M23_stoolxbin.50_sub.SR_stool.fasta,0,0.000
C017-M23_stoolxbin.50_sub.SR_stool.fasta,1.083333333,0.000
C017-M23_stoolxbin.6.SR_stool.fasta,0,0.000
C017-M23_stoolxbin.6.SR_stool.fasta,1.416666667,5.960
C017-M23_stoolxbin.6.SR_stool.fasta,2.5,10.431
C017-M23_stoolxbin.77.SR_stool.fasta,0,0.000
C017-M23_stoolxbin.77.SR_stool.fasta,1.083333333,0.000
C017-M23_stoolxbin.95.SR_stool.fasta,0,0.000
C017-M23_stoolxbin.95.SR_stool.fasta,1.083333333,0.000
C017-M23_stoolxC017-M23_stool.023.SR_stool.fasta,0,0.000
C017-M23_stoolxC017-M23_stool.023.SR_stool.fasta,1.416666667,6.786
C017-M23_stoolxC017-M23_stool.023.SR_stool.fasta,2.5,8.153
C017-M23xbin.16_sub.LR_stool.fasta,0,0.000
C017-M23xbin.16_sub.LR_stool.fasta,1.416666667,6.370
C017-M23xC017__C017-M23.021.LR_stool.fasta,0,0.000
C017-M23xC017__C017-M23.021.LR_stool.fasta,0.5,0.000
C017-M36_WCxbin.3.SR_plate.fasta,0,0.000
C017-M36_WCxbin.3.SR_plate.fasta,1.083333333,2.331
C017-M36x0.SR_stool.fasta,0,0.000
C017-M36x0.SR_stool.fasta,0.5,5.182
C017-M36x0.SR_stool.fasta,3,10.555
C017-M36x103.SR_stool.fasta,0,0.000
C017-M36x103.SR_stool.fasta,1.416666667,2.242
C017-M36x127.SR_stool.fasta,0,0.000
C017-M36x127.SR_stool.fasta,1.083333333,6.221
C017-M36x133.SR_stool.fasta,0,0.000
C017-M36x133.SR_stool.fasta,1.083333333,4.759
C017-M36x17.SR_stool.fasta,0,0.000
C017-M36x17.SR_stool.fasta,1.416666667,1.143
C017-M36x17.SR_stool.fasta,2.5,5.701
C017-M36x21_sub.SR_stool.fasta,0,0.000
C017-M36x21_sub.SR_stool.fasta,1.083333333,0.000
C017-M36x29.SR_stool.fasta,0,0.000
C017-M36x29.SR_stool.fasta,1.083333333,0.000
C017-M36x30.SR_stool.fasta,0,0.000
C017-M36x30.SR_stool.fasta,1.083333333,6.595
C017-M36x32.LR_stool.fasta,0,0.000
C017-M36x32.LR_stool.fasta,0.5,2.086
C017-M36x32.LR_stool.fasta,3,4.167
C017-M36x48.LR_stool.fasta,0,0.000
C017-M36x48.LR_stool.fasta,1.083333333,0.000
C017-M36x86.SR_stool.fasta,0,0.000
C017-M36x86.SR_stool.fasta,1.083333333,0.000
C017-M36xbin.117.SR_stool.fasta,0,0.000
C017-M36xbin.117.SR_stool.fasta,1.083333333,0.000
C017-M36xbin.13.SR_stool.fasta,0,0.000
C017-M36xbin.13.SR_stool.fasta,0.5,0.000
C017-M36xbin.34.SR_stool.fasta,0,0.000
C017-M36xbin.34.SR_stool.fasta,1.083333333,2.263
C017-M36xbin.56.LR_stool.fasta,0,0.000
C017-M36xbin.56.LR_stool.fasta,1.916666667,2.734
C017-M36xbin.56.LR_stool.fasta,3,20.529
C017-M36xbin.90.SR_stool.fasta,0,0.000
C017-M36xbin.90.SR_stool.fasta,1.916666667,1.335
C017-M36xbin.90.SR_stool.fasta,3,2.576
C017-M36xC017__C017-M36.019_sub.LR_stool.fasta,0,0.000
C017-M36xC017__C017-M36.019_sub.LR_stool.fasta,1.083333333,4.305
C017-M36xC017-M36.010.SR_stool.fasta,0,0.000
C017-M36xC017-M36.010.SR_stool.fasta,1.083333333,0.000
C017-M36xC017-M36.015.SR_stool.fasta,0,0.000
C017-M36xC017-M36.015.SR_stool.fasta,0.5,0.000
C017-M36xC017-M36.015.SR_stool.fasta,1.916666667,0.000
C017-M36xC017-M36.015.SR_stool.fasta,3,0.000
C017-M36xC017-M36.018.SR_stool.fasta,0,0.000
